symbol,trade_date,close_price
ABSMARINE,2025-05-26,132.45
BEML,2025-05-26,4279.7
GODHA,2025-05-26,0.5
HECPROJECT,2025-05-26,132.31
HINDMOTORS,2025-05-26,29.48
HOACFOODS,2025-05-26,177.9
INSPIRE,2025-05-26,19.05
KAMDHENU,2025-05-26,31.0
KHAITANLTD,2025-05-26,158.54
MANGLMCEM,2025-05-26,816.25
MUFTI,2025-05-26,181.81
OLIL,2025-05-26,176.55
ORIENTALTL,2025-05-26,12.98
PREMEXPLN,2025-05-26,524.0
SHANTI,2025-05-26,18.72
SRPL,2025-05-26,0.89
TFCILTD,2025-05-26,215.09
VINEETLAB,2025-05-26,32.1
AFIL,2025-05-27,8.1
AMBICAAGAR,2025-05-27,30.65
APOLLO,2025-05-27,155.81
BIRDYS,2025-05-27,111.85
BORANA,2025-05-27,255.15
CAMLINFINE,2025-05-27,245.57
COSMOFIRST,2025-05-27,1084.1
GODHA,2025-05-27,0.49
HECPROJECT,2025-05-27,138.34
HOMESFY,2025-05-27,317.15
INDIGO,2025-05-27,5313.5
KAMDHENU,2025-05-27,30.96
MTNL,2025-05-27,47.79
NRL,2025-05-27,84.46
ORIENTALTL,2025-05-27,13.0
SHANTI,2025-05-27,19.65
SHRIRAMPPS,2025-05-27,97.39
TECHLABS,2025-05-27,504.7
TFCILTD,2025-05-27,219.61
APOLLO,2025-05-28,177.31
ATALREAL,2025-05-28,16.24
BELRISE,2025-05-28,97.41
BORANA,2025-05-28,244.53
GODHA,2025-05-28,0.5
IFCI,2025-05-28,70.31
ITC,2025-05-28,420.2
KAMDHENU,2025-05-28,33.0
KBCGLOBAL,2025-05-28,0.4
MTNL,2025-05-28,49.53
ONDOOR,2025-05-28,140.2
SHANTI,2025-05-28,20.63
TGL,2025-05-28,234.6
UMAEXPORTS,2025-05-28,68.83
VCL,2025-05-28,0.98
APOLLO,2025-05-29,188.77
ATALREAL,2025-05-29,16.29
AXISCADES,2025-05-29,1043.4
BIRLANU,2025-05-29,2294.8
FROG,2025-05-29,237.25
GANGAFORGE,2025-05-29,4.31
GATECH,2025-05-29,0.75
GENSOL,2025-05-29,61.72
HARSHA,2025-05-29,379.3
HINDMOTORS,2025-05-29,33.63
IFBAGRO,2025-05-29,677.85
KAMOPAINTS,2025-05-29,11.6
MAMATA,2025-05-29,457.05
MCON,2025-05-29,132.9
MMTC,2025-05-29,81.11
SHANTI,2025-05-29,21.66
UMA,2025-05-29,25.1
AKIKO,2025-05-30,82.25
APOLLO,2025-05-30,188.92
ATALREAL,2025-05-30,16.03
BIRDYS,2025-05-30,117.0
BORANA,2025-05-30,224.01
BTML,2025-05-30,7.96
COROMANDEL,2025-05-30,2289.4
ETERNAL,2025-05-30,238.31
GATECH,2025-05-30,0.78
IEX,2025-05-30,200.55
INDIGOPNTS,2025-05-30,1079.45
KIRIINDUS,2025-05-30,642.05
KRISHCA,2025-05-30,230.75
NYKAA,2025-05-30,203.26
OLIL,2025-05-30,188.0
ONDOOR,2025-05-30,154.55
ORCHPHARMA,2025-05-30,628.75
RHFL,2025-05-30,5.04
RPOWER,2025-05-30,58.1
VENUSREM,2025-05-30,435.2
ALUWIND,2025-06-02,67.25
APOLLO,2025-06-02,197.21
BHANDARI,2025-06-02,6.17
BTML,2025-06-02,7.99
CDSL,2025-06-02,1682.9
DBEIL,2025-06-02,146.61
DEEM,2025-06-02,54.95
GLOBALPET,2025-06-02,135.0
K2INFRA,2025-06-02,74.55
LYPSAGEMS,2025-06-02,9.63
MITTAL,2025-06-02,1.54
MTNL,2025-06-02,50.81
NIVABUPA,2025-06-02,83.11
ONEPOINT,2025-06-02,66.56
SHANTI,2025-06-02,23.87
SIGIND,2025-06-02,75.03
THELEELA,2025-06-02,435.55
THOMASCOTT,2025-06-02,327.6
TOKYOPLAST,2025-06-02,151.87
AGROPHOS,2025-06-03,40.69
APTUS,2025-06-03,307.0
BLACKBUCK,2025-06-03,444.55
BTML,2025-06-03,8.0
CDSL,2025-06-03,1708.9
GODHA,2025-06-03,0.49
KAMDHENU,2025-06-03,33.25
LYPSAGEMS,2025-06-03,9.27
MICEL,2025-06-03,59.27
NAZARA,2025-06-03,1268.4
OLAELEC,2025-06-03,49.33
PROSTARM,2025-06-03,126.0
SHANTI,2025-06-03,23.39
VISAMAN,2025-06-03,43.0
YESBANK,2025-06-03,20.86
ABFRL,2025-06-04,76.77
CELLECOR,2025-06-04,40.0
GODHA,2025-06-04,0.46
IDEAFORGE,2025-06-04,587.75
IEX,2025-06-04,202.01
INDGN,2025-06-04,588.43
KAYNES,2025-06-04,5737.5
KESORAMIND,2025-06-04,6.12
LIBAS,2025-06-04,14.15
MADHAV,2025-06-04,48.67
MOTILALOFS,2025-06-04,823.55
MTNL,2025-06-04,52.35
ORIENTALTL,2025-06-04,13.56
PROSTARM,2025-06-04,119.7
SBC,2025-06-04,14.88
SCODATUBES,2025-06-04,147.0
TITAGARH,2025-06-04,930.05
URBAN,2025-06-04,154.3
VCL,2025-06-04,1.0
VISAMAN,2025-06-04,43.0
WINSOME,2025-06-04,1.83
AGSTRA,2025-06-05,5.27
AVANTEL,2025-06-05,181.21
CLSL,2025-06-05,52.1
GATECH,2025-06-05,0.92
HILTON,2025-06-05,73.11
KHADIM,2025-06-05,309.75
MADHAV,2025-06-05,49.46
PROSTARM,2025-06-05,116.96
RAMASTEEL,2025-06-05,13.2
SCODATUBES,2025-06-05,154.35
UMAEXPORTS,2025-06-05,59.94
VISAMAN,2025-06-05,43.0
AGSTRA,2025-06-06,5.2
ARVSMART,2025-06-06,697.55
ATALREAL,2025-06-06,16.65
AVANTEL,2025-06-06,171.16
AZAD,2025-06-06,1649.7
BAJAJFINSV,2025-06-06,1989.03
GENSOL,2025-06-06,54.65
JAYSREETEA,2025-06-06,113.58
MADHAV,2025-06-06,49.82
MAHASTEEL,2025-06-06,302.0
MCON,2025-06-06,115.0
OLIL,2025-06-06,181.7
RAMASTEEL,2025-06-06,13.79
RBLBANK,2025-06-06,217.63
RKFORGE,2025-06-06,656.75
SRPL,2025-06-06,0.72
UNIVASTU,2025-06-06,250.15
ZFCVINDIA,2025-06-06,13856.0
ATALREAL,2025-06-09,17.15
AVANTEL,2025-06-09,160.55
CREATIVEYE,2025-06-09,10.09
GATECH,2025-06-09,1.11
HBSL,2025-06-09,103.38
KESORAMIND,2025-06-09,6.48
MADHAV,2025-06-09,50.81
MCON,2025-06-09,114.0
ORIENTALTL,2025-06-09,13.64
RAMASTEEL,2025-06-09,13.49
SBC,2025-06-09,14.93
SCODATUBES,2025-06-09,160.78
SRPL,2025-06-09,0.68
TGL,2025-06-09,172.9
TVSELECT,2025-06-09,527.0
WILLAMAGOR,2025-06-09,34.74
WIPRO,2025-06-09,251.29
AARTECH,2025-06-10,66.65
ATALREAL,2025-06-10,18.19
ATAM,2025-06-10,121.78
EXXARO,2025-06-10,9.42
GATECH,2025-06-10,1.03
GATECHDVR,2025-06-10,0.97
GENCON,2025-06-10,46.54
GSLSU,2025-06-10,138.76
IITL,2025-06-10,175.0
MCON,2025-06-10,112.25
MHLXMIRU,2025-06-10,223.37
MTNL,2025-06-10,51.09
OCCL,2025-06-10,302.14
ONEPOINT,2025-06-10,66.51
PREMIERENE,2025-06-10,1084.4
QUADPRO,2025-06-10,3.2
RPOWER,2025-06-10,71.24
SCODATUBES,2025-06-10,168.81
SHANKARA,2025-06-10,1023.07
SRPL,2025-06-10,0.64
SUYOG,2025-06-10,941.75
TGBHOTELS,2025-06-10,12.75
AARTECH,2025-06-11,73.14
ABCAPITAL,2025-06-11,246.25
ATALREAL,2025-06-11,18.86
DCXINDIA,2025-06-11,297.35
EXXARO,2025-06-11,10.37
GMBREW,2025-06-11,794.25
GODHA,2025-06-11,0.48
GTL,2025-06-11,11.18
GTLINFRA,2025-06-11,1.81
HARSHA,2025-06-11,397.95
HILTON,2025-06-11,65.8
IEX,2025-06-11,193.68
JISLDVREQS,2025-06-11,34.46
LANCORHOL,2025-06-11,20.24
MARKSANS,2025-06-11,263.55
MOBIKWIK,2025-06-11,281.25
MONOPHARMA,2025-06-11,25.0
MTNL,2025-06-11,52.86
OCCL,2025-06-11,315.95
ONEPOINT,2025-06-11,63.17
ORIENTALTL,2025-06-11,15.2
RPOWER,2025-06-11,71.27
RTNINDIA,2025-06-11,65.56
RTNPOWER,2025-06-11,15.24
SHANKARA,2025-06-11,1014.45
SRPL,2025-06-11,0.6
SULA,2025-06-11,320.8
SUYOG,2025-06-11,988.8
URBAN,2025-06-11,162.95
WIPRO,2025-06-11,258.92
AARTECH,2025-06-12,70.91
ASIANPAINT,2025-06-12,2219.4
BIRDYS,2025-06-12,112.25
DIGITIDE,2025-06-12,224.95
GODHA,2025-06-12,0.47
GTL,2025-06-12,12.12
GTLINFRA,2025-06-12,2.05
KARMAENG,2025-06-12,83.46
KBCGLOBAL,2025-06-12,0.45
LFIC,2025-06-12,220.95
MTNL,2025-06-12,54.41
MVKAGRO,2025-06-12,122.05
ORIENTALTL,2025-06-12,16.84
PARAGON,2025-06-12,61.5
PATTECH,2025-06-12,74.6
ROUTE,2025-06-12,1077.6
SHANKARA,2025-06-12,1034.69
SRPL,2025-06-12,0.57
TANLA,2025-06-12,679.2
TGL,2025-06-12,148.25
VILINBIO,2025-06-12,27.85
ARIHANTACA,2025-06-13,275.8
ATALREAL,2025-06-13,19.39
FINOPB,2025-06-13,283.39
JUBLFOOD,2025-06-13,681.45
JUBLINGREA,2025-06-13,793.55
JUBLPHARMA,2025-06-13,1094.2
KBCGLOBAL,2025-06-13,0.44
KESORAMIND,2025-06-13,6.99
MVKAGRO,2025-06-13,124.45
NAZARA,2025-06-13,1327.8
ONEPOINT,2025-06-13,52.97
SCI,2025-06-13,227.06
SCODATUBES,2025-06-13,179.71
SHALBY,2025-06-13,180.06
SRPL,2025-06-13,0.54
TGL,2025-06-13,155.65
VALIANTLAB,2025-06-13,119.97
ZENITHSTL,2025-06-13,8.85
ASIANPAINT,2025-06-16,2244.8
ATALREAL,2025-06-16,19.33
FINOPB,2025-06-16,288.87
HEADSUP,2025-06-16,10.0
HINDMOTORS,2025-06-16,34.01
JALAN,2025-06-16,9.05
KBCGLOBAL,2025-06-16,0.52
KESORAMIND,2025-06-16,6.85
MAGSON,2025-06-16,136.4
ORIENTALTL,2025-06-16,16.84
REPL,2025-06-16,182.64
ROML,2025-06-16,60.89
SOLARA,2025-06-16,508.65
SRPL,2025-06-16,0.51
STLTECH,2025-06-16,99.38
TGL,2025-06-16,163.4
AWFIS,2025-06-17,659.9
BIRLACABLE,2025-06-17,208.05
BLUSPRING,2025-06-17,70.4
CAPTRUST,2025-06-17,88.47
FINOPB,2025-06-17,278.75
GANESHBE,2025-06-17,101.49
GODHA,2025-06-17,0.5
HAPPSTMNDS,2025-06-17,668.45
JALAN,2025-06-17,9.5
KBCGLOBAL,2025-06-17,0.62
KCK,2025-06-17,39.9
KESORAMIND,2025-06-17,6.98
KHANDSE,2025-06-17,23.95
KRIDHANINF,2025-06-17,4.57
KSHITIJPOL,2025-06-17,3.71
KSL,2025-06-17,904.5
MAGSON,2025-06-17,139.1
MONOPHARMA,2025-06-17,23.25
OLIL,2025-06-17,190.0
ORIENTALTL,2025-06-17,17.0
PATTECH,2025-06-17,74.6
ROML,2025-06-17,60.53
SAROJA,2025-06-17,38.0
SGL,2025-06-17,18.16
SRPL,2025-06-17,0.48
STLTECH,2025-06-17,112.71
SUBROS,2025-06-17,1013.85
TGL,2025-06-17,164.05
TVSSCS,2025-06-17,140.43
VMM,2025-06-17,126.77
ZYDUSWELL,2025-06-17,1948.1
ATALREAL,2025-06-18,20.19
BTML,2025-06-18,8.74
CINEVISTA,2025-06-18,21.99
DHANLAXMI,2025-06-18,47.9
FINOPB,2025-06-18,287.81
GANESHBE,2025-06-18,99.88
HINDZINC,2025-06-18,452.8
IEML,2025-06-18,148.0
JALAN,2025-06-18,9.35
KBCGLOBAL,2025-06-18,0.55
MEDICO,2025-06-18,51.39
OPTIEMUS,2025-06-18,684.6
ORIENTALTL,2025-06-18,17.2
SALASAR,2025-06-18,7.98
SCHAND,2025-06-18,249.82
SILLYMONKS,2025-06-18,18.0
SKYGOLD,2025-06-18,344.25
AEROFLEX,2025-06-19,194.87
AHLADA,2025-06-19,74.45
ARIHANTACA,2025-06-19,275.6
BTML,2025-06-19,8.5
DIACABS,2025-06-19,101.53
ETHOSLTD,2025-06-19,2702.9
GILLANDERS,2025-06-19,135.13
HILTON,2025-06-19,71.1
KBCGLOBAL,2025-06-19,0.49
KRIDHANINF,2025-06-19,4.59
KRN,2025-06-19,808.35
MAGSON,2025-06-19,140.0
PRIVISCL,2025-06-19,2451.9
SBC,2025-06-19,14.53
SILLYMONKS,2025-06-19,17.11
STLTECH,2025-06-19,107.02
SUMEETINDS,2025-06-19,55.96
ZEEMEDIA,2025-06-19,13.3
AAKASH,2025-06-20,12.22
AEROFLEX,2025-06-20,204.47
ARIHANTACA,2025-06-20,280.0
BEML,2025-06-20,4639.5
CAPTRUST,2025-06-20,82.51
FCL,2025-06-20,277.71
FINOPB,2025-06-20,291.51
HEADSUP,2025-06-20,9.69
IEL,2025-06-20,25.38
IITL,2025-06-20,170.36
INDIACEM,2025-06-20,306.15
KBCGLOBAL,2025-06-20,0.49
MAGSON,2025-06-20,140.0
MICEL,2025-06-20,54.03
NORTHARC,2025-06-20,208.38
OLIL,2025-06-20,194.7
PROSTARM,2025-06-20,131.28
SOLARA,2025-06-20,529.95
VINEETLAB,2025-06-20,29.01
VMM,2025-06-20,129.62
WESTLIFE,2025-06-20,699.0
AEROFLEX,2025-06-23,204.5
AGIIL,2025-06-23,987.95
AKIKO,2025-06-23,78.25
BOHRAIND,2025-06-23,28.25
CHENNPETRO,2025-06-23,702.35
FINOPB,2025-06-23,283.36
GODHA,2025-06-23,0.52
HILTON,2025-06-23,72.23
KOPRAN,2025-06-23,175.69
MAGSON,2025-06-23,140.0
MUNJALSHOW,2025-06-23,123.54
NORTHARC,2025-06-23,225.56
OLIL,2025-06-23,194.6
PROSTARM,2025-06-23,134.05
SMVD,2025-06-23,16.8
VINEETLAB,2025-06-23,29.5
ZEEL,2025-06-23,149.66
ZEEMEDIA,2025-06-23,15.81
AEROFLEX,2025-06-24,199.09
AVALON,2025-06-24,803.4
BAJAJCON,2025-06-24,202.63
CAPTRUST,2025-06-24,76.01
CELLECOR,2025-06-24,39.6
EIEL,2025-06-24,236.3
FOODSIN,2025-06-24,114.18
HILTON,2025-06-24,68.61
IDEAFORGE,2025-06-24,633.5
INM,2025-06-24,509.95
KBCGLOBAL,2025-06-24,0.48
KESORAMIND,2025-06-24,6.54
KMEW,2025-06-24,1702.3
MAGSON,2025-06-24,140.0
MICEL,2025-06-24,53.99
MVKAGRO,2025-06-24,142.65
OSIAHYPER,2025-06-24,16.2
QUICKHEAL,2025-06-24,357.75
SUNREST,2025-06-24,54.0
TITAGARH,2025-06-24,922.85
VAISHALI,2025-06-24,12.07
